ANEXO 1. ORDENAMENTO DAS TAXAS DE ÓBITO POR AF (Homicídios e óbitos por AF; taxas médias 2010/2012 em municípios com mais de 20.000 habitantes). População Total. Brasil. 2010/2012.,,,,,,,,,,,
Município,UF,Popula-,n. homicídios AF,,,n. óbitos AF,,,Tx. Média*,,Posi-ção
,,ção,2010,2011,2012,2010,2011,2012,Homic.,Óbitos,
Brasiléia,AC,"22,261",6,4,4,6,4,5,21.0,22.5,410º
Sena Madureira,AC,"39,366",3,3,8,3,3,8,11.9,11.9,788º
Cruzeiro do Sul,AC,"79,819",5,8,9,7,10,9,9.2,10.9,847º
Rio Branco,AC,"348,354",37,21,51,38,22,52,10.4,10.7,856º
Tarauacá,AC,"36,763",0,4,2,1,5,4,5.4,9.1,948º
Senador Guiomard,AC,"20,588",0,0,1,2,1,1,1.6,6.5,1145º
Feijó,AC,"32,560",1,3,2,1,3,2,6.1,6.1,1174º
Acrelândia,AC,"13,011",2,0,0,3,0,0,,,
Assis Brasil,AC,"6,308",0,0,0,0,0,0,,,
Bujari,AC,"8,782",1,1,0,1,1,0,,,
Capixaba,AC,"9,368",2,0,1,3,1,1,,,
Epitaciolândia,AC,"15,679",0,1,1,1,1,1,,,
Jordão,AC,"6,898",0,0,1,0,0,3,,,
Mâncio Lima,AC,"15,890",0,0,0,1,0,0,,,
Manoel Urbano,AC,"8,224",0,1,1,0,2,1,,,
Marechal Thaumaturgo,AC,"15,123",1,0,0,1,1,0,,,
Plácido de Castro,AC,"17,587",1,2,2,2,3,2,,,
Porto Acre,AC,"15,534",1,1,0,1,1,0,,,
Porto Walter,AC,"9,711",0,0,1,0,0,1,,,
Rodrigues Alves,AC,"15,260",2,0,0,2,0,0,,,
Santa Rosa do Purus,AC,"5,061",0,0,1,0,0,1,,,
Xapuri,AC,"16,639",0,1,0,0,1,0,,,
Pilar,AL,"33,623",26,32,38,26,32,38,95.2,95.2,4º
Maceió,AL,"953,393",878,902,761,881,903,762,88.8,89.0,9º
Arapiraca,AL,"218,140",181,198,175,181,198,176,84.7,84.8,12º
Rio Largo,AL,"68,952",34,71,70,34,71,70,84.6,84.6,13º
São Miguel dos Campos,AL,"56,319",39,56,38,39,56,38,78.7,78.7,16º
